CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,AA01,AA02,AA03,AA04,AA05,AA06,B001,B002,B003,B101,B102,B103,B201,B202,B203,B301,B302,B303,B401,B402,B403,B501,B502,B503,I104,P001,P002,P003,P101,P102,P103,P201,P202,P203,P301,P302,P303,P401,P402,P403,P501,P502,P503,PQ01,PQ03,PQ04,PQ05_01,RA01_CP,RA01x01,RA01x02,RA01x03,RA03_CP,RA03x01,RA03x02,RA03x03,RA04_CP,RA04x01,RA04x02,RA04x03,RA05_CP,RA05x01,RA05x02,RA05x03,RA06_CP,RA06x01,RA06x02,RA06x03,RA07_CP,RA07x01,RA07x02,RA07x03,RA08_CP,RA08x01,RA08x02,RA08x03,RA09_CP,RA09x01,RA09x02,RA09x03,RA10_CP,RA10x01,RA10x02,RA10x03,RA11_CP,RA11x01,RA11x02,RA11x03,RA12_CP,RA12x01,RA12x02,RA12x03,RA14_CP,RA14x01,RA14x02,RA14x03,RA13_CP,RA13x01,RA13x02,RA13x03,RA13x04,RA13x05,RA13x06,RA13x07,RA13x08,RA13x09,RA13x10,RA13x11,RA13x12,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME018,TIME019,TIME020,TIME021,TIME022,TIME023,TIME024,TIME025,TIME026,TIME027,TIME028,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI
112,,,round1,interview,30.05.2024 13:38,2,1,1,1,1,2,5,2,4,1,1,3,1,3,2,1,3,1,3,1,1,2,1,2,,2,1,3,4,3,1,1,1,2,2,1,3,1,1,1,4,2,1,1,2,2,,15,1,3,2,15,2,1,3,15,2,1,3,15,1,2,3,15,1,3,2,15,3,2,1,15,3,1,2,15,2,1,3,15,1,2,3,15,1,2,3,15,1,3,2,15,3,1,2,15,3,9,11,1,10,8,5,12,2,6,4,7,1,17,14,43,82,53,31,45,34,37,4,57,77,48,9,30,35,23,5,29,46,27,7,32,17,21,9,,807,,30.05.2024 13:52,1,0,27,27,2,0,1.03
113,,,round1,interview,30.05.2024 13:38,2,1,1,1,1,2,5,1,3,2,4,1,1,2,1,2,3,1,2,1,1,3,1,1,,1,3,4,3,2,4,1,2,2,1,2,2,1,2,4,4,1,3,1,2,2,,16,1,3,2,16,1,3,2,16,3,1,2,16,1,3,2,16,2,3,1,16,1,2,3,16,2,1,3,16,3,1,2,16,1,2,3,16,2,3,1,16,2,3,1,16,1,2,3,16,2,3,7,11,9,10,8,6,1,12,4,5,10,66,6,81,33,43,29,23,34,15,4,33,14,8,6,8,19,8,4,16,16,29,6,18,11,35,4,,507,,30.05.2024 13:48,1,0,27,27,2,0,1.53
114,,,round1,interview,30.05.2024 16:43,2,1,1,1,1,2,4,1,2,1,1,3,1,1,1,2,4,1,1,4,3,2,2,3,,1,3,1,1,1,2,3,3,1,1,3,1,1,4,1,3,1,1,1,2,2,,17,1,3,2,17,1,3,2,17,2,1,3,17,1,2,3,17,1,2,3,17,2,1,3,17,2,3,1,17,3,2,1,17,3,2,1,17,3,1,2,17,1,2,3,17,2,3,1,17,7,3,2,11,10,12,1,4,6,9,5,8,6,24,27,568,265,103,8,275,754,390,22,566,350,651,15,658,385,111,11,339,136,354,10,293,428,110,6,,752,,30.05.2024 18:37,1,0,27,27,2,0,0.28
115,,,round1,interview,31.05.2024 12:49,2,1,1,1,1,2,5,4,1,1,1,2,2,2,1,4,4,1,4,3,4,1,1,2,,3,2,1,1,1,1,3,2,4,1,2,3,4,4,1,1,2,4,1,2,2,,18,3,2,1,18,1,3,2,18,1,3,2,18,3,2,1,18,1,2,3,18,1,2,3,18,2,1,3,18,1,3,2,18,3,1,2,18,1,3,2,18,2,1,3,18,2,3,1,18,8,12,5,4,2,10,9,1,7,3,6,11,3,13,21,74,102,75,6,25,18,21,4,39,25,102,6,40,31,28,4,42,88,37,6,28,33,30,6,,907,,31.05.2024 13:04,1,0,27,27,2,0,1
117,,,round1,interview,02.06.2024 16:14,2,1,1,1,1,2,5,2,1,2,1,1,1,2,1,3,4,1,2,2,1,1,2,2,,1,3,3,3,2,3,2,2,1,2,1,1,2,3,4,3,1,4,1,2,1,,19,3,1,2,19,2,3,1,19,2,1,3,19,1,3,2,19,2,1,3,19,2,1,3,19,3,2,1,19,2,3,1,19,1,2,3,19,3,1,2,19,1,3,2,19,3,1,2,19,11,9,12,7,4,8,2,1,6,3,10,5,5,72,24,38,69,47,6,79,45,63,4,53,64,65,18,41,28,27,6,55,31,36,10,42,38,37,6,,943,,02.06.2024 16:31,1,0,27,27,2,0,0.78
128,,,round1,interview,03.06.2024 09:18,3,1,2,1,4,2,4,4,2,4,3,4,1,1,2,4,3,4,2,2,2,3,1,1,-9,1,4,3,2,4,1,4,4,3,4,2,3,1,1,4,1,2,1,1,2,2,,20,2,1,3,20,3,2,1,20,3,1,2,20,2,1,3,20,3,1,2,20,3,2,1,20,1,2,3,20,1,2,3,20,3,1,2,20,1,2,3,20,2,1,3,20,3,1,2,20,4,12,9,6,10,11,7,3,8,2,1,5,5,19,49,6,4,4,1,4,2,4,1,3,3,3,1,4,4,3,1,5,4,5,6,4,5,5,7,7,169,,03.06.2024 09:21,1,0,28,28,4,1,2.56
129,,,round1,interview,03.06.2024 09:21,3,4,4,4,1,2,3,2,1,4,4,3,2,1,1,2,2,1,2,1,2,2,2,3,1,1,3,2,1,2,4,2,4,1,1,3,3,3,2,1,3,2,1,1,2,1,,21,1,3,2,21,1,2,3,21,1,3,2,21,2,1,3,21,2,1,3,21,3,2,1,21,2,1,3,21,3,1,2,21,1,3,2,21,3,1,2,21,3,2,1,21,1,3,2,21,2,10,4,6,8,7,9,5,1,11,3,12,5,4,2,4,3,2,1,2,1,1,1,2,2,2,0,2,2,2,1,2,2,1,1,3,2,2,1,2,55,,03.06.2024 09:22,1,0,28,28,2,0,2.92
141,,,round1,interview,05.06.2024 09:55,2,1,1,1,1,2,5,2,3,1,3,1,1,2,1,2,1,1,3,1,1,2,1,3,-9,1,2,2,4,1,3,1,3,4,2,1,2,1,1,2,4,1,1,1,2,1,,22,1,2,3,22,2,1,3,22,3,2,1,22,2,3,1,22,1,2,3,22,2,3,1,22,1,3,2,22,1,3,2,22,1,2,3,22,2,1,3,22,1,3,2,22,1,2,3,22,6,11,10,9,5,7,2,8,4,1,3,12,2,10,26,32,12,19,2,26,55,15,3,30,23,16,5,106,19,16,2,7,10,10,4,23,15,28,3,21,540,,05.06.2024 10:04,1,0,28,28,6,3,1.73
143,,,round1,interview,05.06.2024 10:06,2,1,1,1,1,2,5,4,4,1,1,3,1,1,2,2,1,1,3,4,1,2,1,2,-9,1,3,1,3,1,3,1,3,2,4,4,4,3,4,1,4,3,4,1,2,2,"Ich würde Deutsch als meine Muttersprache bezeichnen, es ist aber nicht die erste Sprache, die ich gelernt habe.",23,3,2,1,23,1,3,2,23,1,2,3,23,3,2,1,23,3,1,2,23,1,3,2,23,1,2,3,23,3,1,2,23,1,2,3,23,2,3,1,23,1,3,2,23,3,2,1,23,3,7,2,5,4,1,6,9,8,11,12,10,2,41,44,42,55,33,5,13,52,15,5,98,29,23,7,89,26,63,137,645,135,67,36,87,28,44,5,4,947,,05.06.2024 10:37,1,0,28,28,4,3,0.97
152,,,round1,interview,05.06.2024 15:16,2,1,1,1,1,2,4,4,1,1,1,2,1,3,1,3,4,1,2,1,1,1,1,3,1,1,3,1,2,2,3,2,2,1,1,3,1,4,3,1,1,1,2,1,1,1,"Habe einen Joint MSci in Biology and Physics (integrated Master, no bachelor)",24,1,2,3,24,2,1,3,24,2,1,3,24,3,2,1,24,3,2,1,24,2,3,1,24,3,2,1,24,1,2,3,24,3,1,2,24,3,1,2,24,1,2,3,24,1,3,2,24,8,12,10,9,2,1,5,6,11,7,4,3,2,93,4,131,84,28,4,29,28,32,4,16,16,24,4,11,18,19,3,15,22,37,4,28,15,22,4,15,637,,05.06.2024 15:28,1,0,28,28,0,0,1.46
