text_id	text_id_numeric	text_domain	text_domain_numeric	source	headline	tq_1	tq_1_option1	tq_1_option2	tq_1_option3	tq_1_option4	tq_2	tq_2_option1	tq_2_option2	tq_2_option3	tq_2_option4	tq_3	tq_3_option1	tq_3_option2	tq_3_option3	tq_3_option4	bq_1	bq_1_option1	bq_1_option2	bq_1_option3	bq_1_option4	bq_2	bq_2_option1	bq_2_option2	bq_2_option3	bq_2_option4	bq_3	bq_3_option1	bq_3_option2	bq_3_option3	bq_3_option4	correct_ans_tq_1	correct_ans_tq_2	correct_ans_tq_3	correct_ans_bq_1	correct_ans_bq_2	correct_ans_bq_3	order_tq_1_ans	order_tq_2_ans	order_tq_3_ans	order_bq_1_ans	order_bq_2_ans	order_bq_3_ans	version
p0	6	physics	1	W. Demtröder: Experimentalphysik 4, Springer, 2014.	Zyklotron	Warum muss die Umlaufszeit für einen Halbkreis unabhängig vom Radius sein?	Damit sich der Radius der Ionenbahn erhöht.	Damit die Ionen sich nicht gegenseitig einholen.	Damit die Ionen das Zyklotron nicht in z-Richtung verlassen	Damit die Ionen immer genau zum Feldwechsel am Spalt ankommen.	Wozu ist das elektrische Feld zwischen den Kammerhälften nötig?	Um die Ionen auf der Kreisbahn zu halten.	Um die Ionen in z-Richtung zu beschleunigen.	Um den Ionen kinetische Energie zu geben.	Um die Ionen in der x-y-Ebene zu halten.	Wozu ist das magnetische Feld in den Kammerhälften nötig?	Um die Ionen in z-Richtung zu beschleunigen.	Um die Ionen auf der Kreisbahn zu halten.	Um den Ionen kinetische Energie zu geben.	Um die Ionen in der x-y-Ebene zu halten.	Warum ist die Umlaufszeit für einen Halbkreis unabhängig vom Radius?	Weil die Ablenkung im Magnetfeld nicht von der Geschwindigkeit der Ionen abhängt.	Weil die Ablenkung im Magnetfeld nur von der Geschwindigkeit der Ionen abhängt.	Weil der Radius sich quadratisch mit der Geschwindigkeit ändert.	Weil der Radius nicht von der Geschwindigkeit abhängt.	Was gilt für die kinetische Energie der Ionen nach Verlassen des Zyklotrons?	Sie ist proportional zum Radius der Kammerhälften.	Sie ist proportional zur Ladung des Teilchens.	Sie ist proportional zum Betrag des Magnetfeldes.	Sie ist proportional zum Quadrat des Betrages des Magnetfeldes.	Was gilt für den Radius der Halbkreisbahnen?	(Magnetfeldstärke pro Ladung) mal (Geschwindigkeit pro Masse).	(Magnetfeldstärke mal Ladung) pro (Geschwindigkeit mal Masse).	(Masse mal Ladung) durch (Geschwindigkeit mal Magnetfeldstärke).	(Masse pro Ladung) mal (Geschwindigkeit pro Magnetfeldstärke).	4	3	2	2	4	4	[4, 2, 3, 1]	[2, 4, 1, 3]	[4, 1, 2, 3]	[2, 1, 3, 4]	[3, 4, 2, 1]	[3, 4, 2, 1]	0
b0	0	biology	0	Ableitner, Oksana: Einführung in die Molekularbiologie. Basiswissen für das Arbeiten im Labor,  Springer, 2014.	Gelelektrophorese	Nach welchem Kriterium werden die DNA-Fragmente getrennt?	Nach Ladung.	Nach Ethidiumbromideinlagerung.	Nach Länge.	Nach Basensequenz.	Wodurch sind die DNA-Fragmente negativ geladen?	Durch die Phosphatreste im Rückgrat.	Durch die Phosphoratome.	Durch das Methylierungsmuster der DNA.	Durch die negative Ladung der Base Adenin.	Welche Eigenschaft der Agarose sorgt für die Trennung der DNA-Fragmente?	Ihre dreidimensionale Netzstruktur.	Ihre Zähflüssigkeit.	Ihre positive Ladung.	Ihre negative Ladung.	Wie wird die absolute Länge der DNA-Fragmente bestimmt?	Durch die Dauer der Gelelektrophorese.	Durch die Intensität der Banden nach Anregung mit UV-Licht.	Durch die absolute Positionen der Banden auf dem Gel.	Durch Positionsvergleich mit parallel mitlaufendem Marker.	Wie stellt man das Auflösungsvermögen des Gels ein?	Durch die Stärke des elektrischen Feldes.	Durch die Ethidiumbromidkonzentration.	Durch die Wellenlänge des UV-Lichtes.	Durch die Agarosekonzentration.	Warum eignet sich Ethidiumbromid, um die Banden sichtbar zu machen?	Es ist chiral.	Es ist rot.	Es ist thermostabil.	Es ist interkalierend.	3	1	1	4	4	4	[2, 4, 1, 3]	[1, 4, 3, 2]	[1, 2, 4, 3]	[2, 4, 3, 1]	[2, 3, 4, 1]	[4, 3, 2, 1]	0
p3	9	physics	1	W. Demtröder: Experimentalphysik 4, Springer, 2014.	Das Quarkmodell	Was spricht dagegen, Neutronen als Elementarteilchen zu betrachten?	Sie besitzen ein magnetisches Moment, aber keine Ladung.	Sie besitzen weder ein magnetisches Moment noch eine Ladung.	Sie besitzen kein magnetisches Moment, aber eine Ladung.	Sie besitzen sowohl ein magnetisches Moment als auch eine Gesamtladung.	Was ist die grundlegende Neuerung des Quarkmodells?	Dass Elementarteilchen keine Ladung haben.	Dass es viel mehr verschiedene Elementarteilchen gibt als zuvor angenommen.	Dass unterschiedliche zuvor als elementar angenommene Teilchen eine innere Struktur haben.	Dass es Elementarteilchen mit gleichem Spin, gleicher Parität und fast gleicher Masse gibt.	Sein Quark-Modell entwickelte...	Murray Gell-Mann auf George Zweigs Modell aufbauend.	George Zweig auf Murray Gell-Manns Modell aufbauend.	George Zweig in Kooperation mit Murray Gell-Mann.	Murray Gell-Mann unabhängig von George Zweig.	In welche Typen werden Hadronen unterteilt?	Baryonen und Antibaryonen.	Bosonen und Fermionen.	Mesonen und Baryonen.	Leptonen und Dileptonen.	Wie ist die Quarkszusammensetzung eines Neutrons?	2 Top, 1 Bottom.	2 Up, 1 Down.	2 Bottom, 1 Top.	2 Down, 1 Up.	Welche Spinquantenzahl besitzen Quarks?	0	1/2	1	2	1	3	4	3	4	2	[1, 2, 3, 4]	[4, 3, 1, 2]	[3, 4, 2, 1]	[3, 2, 1, 4]	[4, 2, 3, 1]	[2, 1, 3, 4]	0
b2	2	biology	0	Townsend et al: Ökologie, Springer, 2003.	Mineralstoffaufnahme durch das Wurzelsystem	Was wird nicht über die Wurzel aufgenommen?	Glucose.	Phosphat.	Wasser.	Nitrat.	Welcher Nährstoff wird stärker im Boden gebunden?	Nitrat, weil es einen hohen Diffusionskoeffizienten hat.	Phosphat, weil es einen hohen Diffusionskoeffizienten hat.	Nitrat, weil es einen niedrigen Diffusionskoeffizienten hat.	Phosphat, weil es einen niedrigen Diffusionskoeffizienten hat.	Was wird durch ein fein verzweigtes Wurzelsystem hauptsächlich bewirkt?	Es vergrößert die Phosphatverarmungszonen der Wurzeln.	Es hindert die Glucoseaufnahme.	Es erhöht die Phosphataufnahme.	Es erhöht die Nitrataufnahme.	In welcher Form wird Stickstoff neben Nitrat über die Wurzel aufgenommen?	Ammonium.	Nitrit.	Molekularer Stickstoff.	Atomarer Stickstoff.	Welche Strukturen sind für die große Wurzeloberfläche verantwortlich?	Die Wurzelhaare.	Die Hyperfeinstruktur.	Das Xylem.	Die Spaltöffnungen.	Wie heißt der von der Wurzel beeinflusste Bereich des Bodens?	Rhizosphäre.	Kalyptrazone.	Biosphäre.	Exsudationszone.	1	4	3	1	1	1	[1, 3, 4, 2]	[4, 2, 3, 1]	[4, 3, 1, 2]	[1, 2, 3, 4]	[1, 2, 3, 4]	[1, 4, 3, 2]	0
b1	1	biology	0	J. Graw: Genetik, Springer, 2015.	Homologe Rekombinationsreparatur	Was ist RecA?	Ein Protein.	Ein Zuckermolekül.	Eine Nukleinsäure.	Ein Cofaktor.	Was passiert bei der Ligation?	Sie behebt den Schaden in der DNA.	Sie stoppt die Replikationsgabel.	Sie sucht nach homologen Sequenzen.	Die Lücke im DNA-Rückgrat wird geschlossen.	Woher kommen die Informationen über die korrekte Basensequenz?	Durch Endonuklease-Schnitte.	Von einer homologen Sequenz.	Von einem Parentalstrang.	Von einem Tochterstrang.	In welchem Organismus läuft die Rekombinationsreparatur wie im Text beschrieben ab?	In Amanita muscaria (Fliegenpilz).	In Escherichia coli (Darmbakterium).	In Homo sapiens (Mensch).	In Saccharomyces cerevisiae (Bäckerhefe).	Welche Funktion erfüllt die DNA-Ligase?	Sie spaltet eine Phosphodiesterbindung im DNA-Rückgrat.	Sie hemmt die Ausbildung von Wasserstoffbrückenbindungen zwischen zwei DNA-Strängen.	Sie unterstützt die Ausbildung von Wasserstoffbrückenbindungen zwischen zwei DNA-Strängen.	Sie führt eine Phosphodiesterbindung im DNA-Rückgrat ein.	Welche Schäden werden in der Regel mit homologer Rekombinationsreparatur behoben?	Starke Strukturveränderung im Parentalstrang.	Alkylierung bei den Basen.	Dimerbildung zwischen Thymidinen.	Tautomerie bei den Basen.	1	4	2	2	4	1	[1, 3, 2, 4]	[3, 4, 2, 1]	[4, 1, 3, 2]	[4, 1, 2, 3]	[2, 4, 3, 1]	[1, 4, 2, 3]	0
p2	8	physics	1	W. Demtröder: Experimentalphysik 2, Springer, 2013.	Photonische Kristalle	Welche Eigenschaft besitzen photonische Kristalle?	Sie besitzen eine räumlich periodische Variation der Dielektrizitätskonstante.	Sie besitzen periodisch eingebaute Mikrostrukturen.	Sie sind durchsichtig.	Sie sind kristallin.	Ist die Periode der Struktur ein ungeradzahlig π-vielfaches der Wellenlänge, wird	das Reflexionsvermögen verringert.	die Wellenlänge bei der Brechung verringert.	das Reflexionsvermögen erhöht.	die Wellenlänge bei der Brechung erhöht.	Wie kann man photonische Kristalle realisieren?	Durch transparente Materialien mit periodischen Strukturen, deren Abstände ein ungeradzahlig π-vielfaches der halben Wellenlänge sind.	Durch transparente Materialien mit periodischen Strukturen, deren Abstände in der Größenordnung der optischen Wellenlänge liegen.	Durch transparente Materialien mit periodischen Strukturen, deren Abstände ein π-vielfaches optischen Wellenlänge sind.	Durch transparente Materialien mit periodischen Strukturen, deren Abstände sehr viel kleiner als die optische Wellenlänge sind.	Was gilt nicht für den Brechungsindex und die Phasengeschwindigkeit einer Welle in einem Material?	Ist der Brechungsindex nicht komplex, ist sein Betrag größer gleich 1.	Sie sind abhängig von der Wellenlänge.	Ihr Produkt ergibt die Phasengeschwindigkeit der Welle im Vakuum.	Sie sind abhängig von der Dicke des Materials.	Was sind photonische Bandlücken?	Ein Energiebereich, für den Photonen von einem photonischen Kristall absorbiert werden.	Ein Energiebereich, für den ein photonischer Kristall elektrisch isolierend ist.	Ein Energiebereich, für den ein photonischer Kristall elektrisch leitend ist.	Ein Energiebereich, für den keine Photonen durch einen photonischen Kristall propagieren.	Wofür können photonische Kristalle verwendet werden?	Als Wellenleiter mit wenig Verlusten.	Als Wellenleiter für extrem kleine Wellenlängen.	Als Wellenleiter für breitbandige Signale.	Als Wellenleiter für extrem starke Signale.	1	1	2	4	4	1	[1, 2, 3, 4]	[1, 3, 2, 4]	[3, 1, 2, 4]	[4, 3, 2, 1]	[2, 3, 4, 1]	[1, 2, 3, 4]	0
b4	4	biology	0	Boujard et al. (2014): Zell- und Molekularbiologie im Überblick	Aufrechterhaltung eines kontinuierlichen Exports aus der chlorophyllhaltigen Zelle	Welche Substanz ist reduzierend?	Saccharose.	Stärke.	Chloroplast.	Glucose.	Wo wird Glucose gebildet?	Im Extrazellularraum.	Im Chloroplasten.	Im Zellkern.	In Speicherorganen der Pflanze.	Welches Molekül ist strukturbildend für die Pflanze?	Stärke.	Cellulose.	Glucose.	Saccharose.	Welches Molekül ist nicht am Aufbau von Pflanzenmaterial beteiligt?	Hemicellulose.	Cellulose.	Murein.	Lignin.	Wie wird Saccharose innerhalb der Pflanze transportiert?	In der Epidermis.	Im Phloem.	Nur in Form von Glucose.	Im Xylem.	Warum wird Glucose in Speicherstoffen gespeichert?	Thermolabil.	Instabil.	Osmotisch wirksam.	Großes Molekül.	4	2	2	3	2	3	[2, 3, 4, 1]	[3, 1, 4, 2]	[4, 1, 2, 3]	[3, 2, 1, 4]	[3, 1, 4, 2]	[4, 2, 1, 3]	0
b3	3	biology	0	Boujard et al. (2014): Zell- und Molekularbiologie im Überblick, Springer, 2014.	Aktinbindende Motorproteine	Wo befindet sich die ATP-Bindungsstelle?	An einer Calmodulinkette.	An einer der leichten Kette.	An einer +Kette.	An der schweren Kette.	Welches Myosin bewegt sich nicht zum +Ende des Filaments?	Myosin VI.	Myosin VIII.	Myosin II.	Myosin IV.	Für welche Funktion werden Motormoleküle benötigt?	Für den vesikulären Transport.	Für die Glykosilierung.	Für die Proteinbiosynthese.	Für die DNA-Rekombination.	Welche Metapher wird für die Muskelkontraktion verwendet?	Die Boxerbewegung.	Die Wurfbewegung.	Die Sprungbewegung.	Die Ruderbewegung.	Was passiert am -Ende des Aktinfilaments?	Die ATP-Hydrolyserate ist höher als die ATP-Anlagerungsrate.	Es erfolgt keine ATP-Hydrolyse.	Die ATP-Anlagerungsrate ist höher als die ATP-Hydrolyserate.	Es erfolgt keine ATP-Anlagerung.	Was ist die ATP-Hydrolyse?	AMP und anorganisches Pyrophosphat werden zu ATP.	ATP und H2O werden zu ADP und anorganischem Phosphat.	ADP und anorganisches Phosphat werden zu ATP und H2O.	ATP wird zu AMP und anorganischem Pyrophosphat.	4	1	1	4	1	2	[3, 2, 4, 1]	[1, 3, 4, 2]	[1, 4, 2, 3]	[2, 3, 4, 1]	[1, 4, 3, 2]	[4, 1, 2, 3]	0
p1	7	physics	1	W. Demtröder: Experimentalphysik 3, Springer, 2010.	Mößbauereffekt	Welchem Wert muss die Geschwindigkeitsdifferenz eines absorbierendes und eines emittierendes Atom entsprechen, so dass die Anregungen dieselbe Frequenz haben?	Der Rückstoßgeschwindigkeit.	Dem Produkt aus der Wellenlänge und dem Frequenzunterschied von Photon und Anregung.	Dem Produkt aus der doppelten Wellenlänge und dem Frequenzunterschied von Photon und Anregung.	Der doppelten Rückstoßgeschwindigkeit.	Welche Aussage ist für die Absorption richtig?	Anregungsenergie = Photonenenergie  + Rückstoßenergie	Anregungsenergie = Photonenenergie  - Rückstoßenergie	Photonenenergie  = Anregungsenergie - Rückstoßenergie	Rückstoßenergie  = Anregungsenergie + Rückstoßenergie	Welche Aussage ist für die Emission richtig?	Photonenenergie  = Rückstoßenergie  - Anregungsenergie	Photonenenergie  = Anregungsenergie + Rückstoßenergie	Rückstoßenergie  = Photonenenergie  - Rückstoßenergie	Anregungsenergie = Photonenenergie  + Rückstoßenergie	Wie kann die Rückstoßenergie noch von dem Kristall aufgenommen werden?	Es entstehen Plasmonen.	Es entstehen Phononen.	Es entstehen Polaronen.	Es entstehen Photonen.	In welchem Bereich des elektromagnetischen Spektrums kann man den Mößbauereffekt beobachten?	Radiowellen.	Terahertzstrahlung.	Gammastrahlung.	Sichtbares Licht.	Warum überträgt sich der Rückstoß, nicht aber die Energie auf den Kristall?	Weil der Kristall eine große Masse besitzt.	Weil der Kristall nicht beschleunigt werden kann.	Weil der Kristall nur sehr wenig Impuls aufnimmt.	Weil sich die Energie auf die einzelnen Kristallatome verteilt.	4	2	4	2	3	1	[2, 3, 4, 1]	[3, 1, 2, 4]	[3, 2, 4, 1]	[3, 1, 4, 2]	[4, 3, 1, 2]	[1, 3, 2, 4]	0
b5	5	biology	0	Boujard et al. (2014): Zell- und Molekularbiologie im Überblick, Springer, 2014.	Prionen	Welche Struktur kommt im Prion im Vergleich zum Wildtypprotein häufiger vor?	Alpha-Helix.	Alpha-Faden.	Beta-Fass.	Beta-Faltblatt.	Wie entstehen Aggregate aus Prionen?	Durch Umwandlung aus dem nativen Protein.	Durch Virenbefall der Zelle.	Durch Vitaminmangel.	Durch Genmutation im nativen Protein.	Was haben Prionen und das entsprechende zelluläre Protein gemeinsam?	Die Fadenform.	Die räumliche Struktur.	Doppelbrechung von polarisiertem Licht.	Das codierende Gen.	Welche Orientierung der Polypeptidketten gibt es innerhalb von Beta-Faltblättern nicht?	Antiparallele Orientierung.	Gemischte Orientierung.	Parallele Orientierung.	Orthogonale Orientierung.	Was haben Prionen und das entsprechende zelluläre Protein gemeinsam?	Die Faltung.	Die Aminosäuresequenz.	Die Quartärstruktur.	Die räumliche Struktur.	In welchem Zusammenhang sind die Prionen von Relevanz?	Verwendung als Impfstoff.	Verwendung als Antitumorwirkstoff.	Auslösung der Krankheit BSE.	Auslösung von Cholera.	4	1	4	4	2	3	[2, 4, 3, 1]	[1, 3, 4, 2]	[3, 2, 4, 1]	[3, 4, 2, 1]	[4, 1, 3, 2]	[4, 2, 1, 3]	0
